query,query_type,response
fe2.update.microsoft.com,CNAME,fe2.update.microsoft.com.nsatc.net
onecs-live.azureedge.net,CNAME,cs9.wpc.v0cdn.net
onecs-live.azureedge.net,CNAME,onecs-live.ec.azureedge.net
www.bing.com,CNAME,www-bing-com.dual-a-0001.a-msedge.net
www.bing.com,CNAME,dual-a-0001.a-msedge.net
www.bing.com,CNAME,a-0001.a-afdentry.net.trafficmanager.net
checkappexec.microsoft.com,CNAME,wd-prod-ss-us-east-1-fe.eastus.cloudapp.azure.com
checkappexec.microsoft.com,CNAME,wd-prod-ss.trafficmanager.net
v20.events.data.microsoft.com,CNAME,skypedataprdcolweu00.cloudapp.net
v20.events.data.microsoft.com,CNAME,global.asimov.events.data.trafficmanager.net
v10.events.data.microsoft.com,CNAME,skypedataprdcolweu00.cloudapp.net
ctldl.windowsupdate.com,CNAME,auto.au.download.windowsupdate.com.c.footprint.net
ctldl.windowsupdate.com,CNAME,au-bg-shim.trafficmanager.net
login.live.com,CNAME,prda.aadg.msidentity.com
login.live.com,CNAME,www.tm.lg.prod.aadmsa.akadns.net
login.live.com,CNAME,www.tm.a.prd.aadg.trafficmanager.net
ctldl.windowsupdate.com,CNAME,audownload.windowsupdate.nsatc.net
login.live.com,CNAME,login.msa.msidentity.com
www.msftconnecttest.com,CNAME,4-c-0003.c-msedge.net
www.msftconnecttest.com,CNAME,ncsi.4-c-0003.c-msedge.net
www.msftconnecttest.com,CNAME,v4ncsi.msedge.net
v20.events.data.microsoft.com,CNAME,skypedataprdcolwus12.cloudapp.net
v10.events.data.microsoft.com,CNAME,skypedataprdcolwus12.cloudapp.net
